SquareFootage,Bedrooms,Bathrooms,Price
679,4,3,425573
2204,1,3,248197
648,1,3,115492
714,3,3,488788
803,4,1,187422
543,1,1,419968
605,2,3,283150
645,2,1,434675
956,1,3,409533
729,3,2,390824
2104,2,3,355444
605,5,1,271997
2304,2,1,203604
1738,5,2,168234
715,3,1,247273
559,3,3,386226
1576,4,2,254860
2190,3,1,462047
2484,4,2,256367
1558,3,2,416835
2398,5,1,135990
2148,2,1,108216
1032,4,3,287329
1109,4,3,388451
516,1,1,348021
1928,5,1,146570
931,2,2,176923
1379,3,2,148980
1880,4,2,284987
1935,5,3,445476
1352,4,3,356004
1776,3,1,409093
2471,2,2,126794
1303,3,3,239899
2161,4,1,174046
2236,4,1,368724
2348,2,3,163539
1203,4,3,382156
1623,1,1,246819
1011,3,3,123111
1891,3,2,144344
1043,4,2,287065
1886,4,2,403660
1636,5,2,182400
1799,1,3,411903
1867,3,2,298399
788,3,2,172461
2382,5,2,312104
1880,2,3,149008
2065,4,1,464737
1833,1,3,207353
1355,3,1,280922
2097,3,2,298657
2189,1,2,130761
2434,2,1,354676
699,5,1,438873
1340,3,2,138979
1260,5,1,285782
1586,1,1,162168
1504,1,3,218470
2495,1,1,197732
2311,4,2,266645
1937,2,1,264450
1636,3,2,203509
2304,1,2,355782
731,4,1,393039
2215,1,1,385226
513,2,1,361940
2141,1,3,335074
1511,4,1,340812
1859,3,1,314565
550,2,2,193685
813,4,3,445286
1189,1,2,255458
1376,3,3,198839
1299,2,2,309661
1527,2,3,165166
1608,5,2,440912
2260,3,3,439765
2125,1,2,228163
844,2,1,142945
1622,4,2,462969
1897,1,2,103548
1370,3,3,432645
1083,5,3,484244
1249,1,3,252296
1995,2,2,278034
711,1,3,319082
2394,5,1,125299
506,2,1,399114
1473,1,1,266531
692,5,1,106352
1874,1,3,132706
764,1,3,380557
1008,1,1,445041
1293,5,1,429127
1331,3,1,428209
1111,5,2,320751
1475,1,3,442333
1994,5,2,404992
2321,5,1,274354
584,5,1,201704
2438,1,1,455983
2231,4,2,339067
1554,2,2,444054
908,5,3,449023
1221,4,1,378021
531,3,2,103664
1446,5,1,194690
1201,1,2,250091
692,2,1,322033
1775,5,2,182432
1408,1,1,356704
1915,5,1,232123
544,1,1,365205
2490,5,2,437931
743,1,3,214534
684,2,1,140181
2058,4,1,165255
889,2,2,398796
693,3,1,381042
2105,2,3,109450
2184,1,3,464351
515,1,2,235112
1292,3,3,271117
1137,4,2,158481
523,4,3,385360
2336,1,2,169523
2011,1,3,458467
1574,5,3,470203
2010,1,2,411317
617,5,1,192370
1713,1,1,101931
1236,3,1,183515
511,5,2,308134
1003,3,3,268717
2194,4,2,383949
1589,5,3,197404
1049,4,3,203181
1067,4,2,230773
568,5,2,439177
1955,5,2,222247
2487,5,3,323451
1821,4,3,271899
1504,3,2,435427
1783,5,3,383260
1904,5,2,430628
2238,3,2,108760
1504,5,3,360088
1999,4,2,168457
1181,5,3,206876
888,4,3,262558
2185,1,3,440592
2008,3,3,369182
2103,1,1,439606
1086,5,3,202788
1729,2,1,321148
1328,2,3,409659
979,5,3,473370
1329,5,1,355226
1542,5,2,178294
1739,3,2,158435
687,4,1,427713
2347,1,2,481120
1655,3,3,162088
632,5,2,187808
1648,3,1,457954
1516,1,1,310346
1901,2,1,142520
608,2,2,456038
1590,5,3,481392
827,1,2,119196
1018,2,3,302739
1531,2,1,447754
2419,2,1,214800
604,4,2,286811
874,1,3,445749
1587,3,2,405700
1981,5,2,134603
2335,3,1,129440
2203,2,2,385854
680,1,3,420560
1846,4,2,236887
1742,2,1,484672
1272,3,2,170900
1306,1,3,376445
545,3,2,246077
1211,5,3,489902
1158,1,3,139379
850,1,2,189939
2283,3,1,268594
1300,1,1,281616
1313,4,3,139857
2106,1,3,258641
2316,1,2,387989
1669,3,2,498516
692,5,3,281822
724,4,2,471371
925,2,2,155889
984,4,2,302484
1879,1,1,479488
1078,3,3,112568
2230,5,3,169459
586,1,3,340786
1285,2,2,261753
654,3,3,312903
2155,3,2,348904
2199,5,3,437286
2354,4,2,453087
1715,5,2,408340
1234,4,3,319211
1842,5,1,352784
1773,2,2,182862
655,3,3,327893
2158,2,3,322675
1676,3,1,260213
878,5,3,371199
1084,1,2,116132
564,2,3,397100
1040,3,1,128399
1650,1,1,389291
2267,5,3,103578
1067,5,1,330345
1648,3,2,346632
1415,1,1,181048
1019,5,3,456224
759,5,3,158830
1988,1,3,170800
2186,2,2,235982
625,2,3,154713
1200,3,1,115022
741,3,1,407191
1325,5,3,184967
1079,4,3,403788
2337,4,3,394736
611,4,3,184396
832,4,2,264496
705,2,2,425587
2351,2,2,196634
1050,2,2,253962
1677,1,3,324392
1588,2,2,176499
1203,5,2,449903
857,5,1,374632
1150,1,2,464058
1154,3,1,497402
918,2,1,311508
803,2,3,281546
1715,4,1,373749
2133,1,3,138730
1409,3,1,305629
2039,2,3,374226
2133,5,1,257492
1258,4,2,397726
2315,2,2,483597
1770,4,2,202052
2260,5,2,368802
1880,5,2,476035
636,2,2,251377
1875,3,1,215417
1221,1,1,279284
515,4,1,130326
724,1,2,421728
1581,4,3,357827
1258,2,3,380193
1484,1,1,177941
507,1,3,161067
2190,1,3,187397
1076,5,2,242986
766,4,2,110999
2404,5,3,347621
1701,4,2,295493
1202,3,3,332010
1723,3,3,123624
2023,4,2,186672
2074,4,3,152862
1309,1,1,143840
885,5,2,473269
1459,2,2,491734
2478,1,3,358225
781,3,3,223063
2487,3,1,248270
2119,4,1,220000
1176,5,1,369649
667,4,2,138437
1698,5,3,438308
1769,2,3,275381
2086,2,3,102425
1383,2,2,371348
1351,5,2,312010
577,1,3,392749
1850,2,3,376992
980,4,3,369405
697,2,1,236859
2133,1,2,337967
2493,2,1,276796
853,5,2,402977
1655,3,3,458079
2000,1,3,448773
922,5,1,288773
2426,4,3,416105
2421,1,3,457144
1093,1,1,459369
1027,2,1,366778
557,3,2,114957
2070,3,1,213234
2310,5,2,427069
508,5,2,382259
959,3,2,417514
1180,1,1,344133
1108,3,2,218425
1420,5,2,182278
1179,2,1,390616
639,2,3,430510
1178,1,2,311002
1553,1,3,188880
1306,4,3,374126
1958,4,3,165966
1331,2,2,418717
624,3,1,209316
879,1,1,430840
2375,3,3,437062
1679,3,3,292477
1120,1,3,179330
1679,5,1,360751
1740,3,3,116115
1697,5,1,356562
551,4,3,355378
1738,2,1,491267
1065,1,3,239344
519,1,1,151673
1858,3,3,258854
1943,3,2,341240
975,5,3,124215
2241,2,2,193397
2302,2,3,352068
1156,1,1,171873
2029,5,3,442903
1546,5,3,113969
948,5,3,454842
1441,2,3,274961
718,1,1,222582
939,4,1,101097
769,5,3,115243
520,2,1,149948
2137,4,3,277704
2279,3,1,476409
1871,1,1,121128
2430,3,3,260673
1981,4,2,432345
615,4,1,176034
1525,4,2,250657
1560,1,2,354842
1639,2,2,214966
2268,5,1,136442
1669,5,3,496606
714,1,3,324603
1404,2,1,140768
732,2,1,261154
2368,2,3,137684
1071,2,3,225317
601,1,2,343882
516,3,3,474696
2071,5,2,376635
981,2,3,199162
1801,3,2,480589
1670,2,2,146782
848,3,2,279509
814,5,2,152024
1371,5,1,451355
2470,3,3,129419
2412,5,3,409944
982,5,1,469776
1947,5,3,159752
1954,5,2,126138
664,2,1,252392
1239,3,1,227716
2104,4,3,467880
1630,3,2,343192
513,5,1,202601
1236,5,2,438327
971,2,2,330596
635,2,1,417279
2242,1,3,353114
2377,2,2,184639
1589,5,3,439869
1862,5,2,192950
1158,5,3,245410
1682,1,3,302949
1116,2,2,183238
824,1,2,388429
1248,1,1,167008
1593,2,3,147311
2337,1,3,290506
1008,3,3,394619
2232,5,1,344232
935,3,2,255937
2394,4,2,298887
1682,1,3,307174
1597,1,1,104572
1826,2,3,429980
1541,4,3,498137
1255,4,2,340529
748,5,1,315502
939,1,3,205220
1662,1,2,499380
2213,4,3,414147
2251,2,1,343283
2128,2,3,166319
651,4,3,293294
1763,1,2,402205
625,3,2,309987
1835,1,2,392262
1684,5,1,356003
2009,5,1,141302
1350,1,2,219310
2031,1,1,214324
539,3,3,383220
2213,5,1,488014
1061,4,1,257902
2298,3,1,335871
2031,5,2,163263
776,1,3,177382
1364,3,2,133948
1615,5,2,377553
978,1,3,287456
1764,3,2,363325
1156,3,1,225157
556,4,2,152052
867,3,2,408066
902,2,3,186819
2400,4,3,181368
1894,5,3,463614
820,1,3,449164
1825,4,3,269311
2468,5,1,164891
1551,2,1,314943
791,4,1,221884
726,4,3,460573
1658,3,2,188216
1230,3,1,137941
2325,3,1,479163
2322,2,3,380443
1478,2,1,164810
2161,2,3,492210
1165,2,3,387934
1594,1,3,369310
1692,5,2,401592
1410,4,1,379339
1759,4,3,154699
1046,3,2,246577
595,1,1,381497
2309,1,1,391493
1206,3,1,351489
1748,1,2,297416
1774,1,1,404632
1952,1,2,400155
1922,5,3,148532
2060,2,1,383496
1266,5,2,258114
1988,3,3,115400
1584,1,2,416940
2465,3,2,173869
2056,1,2,127376
714,1,2,184371
2210,4,1,344944
1923,2,3,224958
650,5,2,158809
540,4,2,147957
1515,5,3,299038
1616,4,3,453761
1138,5,3,241558
1827,5,2,457296
557,1,3,455450
858,5,3,407695
2291,1,2,441459
615,2,3,145855
641,2,3,240688
2329,4,3,342989
2143,2,1,325944
623,4,3,242846
2430,1,1,148887
2265,5,2,166799
1482,2,3,495714
2281,1,2,432702
2195,4,2,171173
1738,5,3,462688
2373,4,2,281825
2339,4,2,211820
1882,4,2,216355
2030,1,2,203312
1622,3,3,396987
890,2,2,289896
1644,4,2,260834
2403,2,2,440883
990,3,3,403636
2021,2,3,487208
1061,4,2,445325
2096,2,3,211162
1722,1,2,176146
1028,5,3,136754
2046,3,2,430345
941,5,1,141667
752,4,2,308235
1793,1,3,122007
2406,5,1,470879
1931,4,1,196465
959,2,1,128969
906,1,2,329161
1312,4,2,367063
1368,4,1,336590
2468,4,3,409788
1533,3,1,186061
814,3,3,467398
2385,1,3,497391
981,5,3,379246
807,3,3,111221
1598,1,3,203075
2221,1,1,243315
2192,5,2,217704
1499,4,3,190268
1454,2,2,420101
656,4,1,339775
1654,4,1,250635
1949,4,1,143934
2396,3,1,232811
2206,5,3,116797
1165,5,3,117467
2045,3,2,306365
1404,2,3,421367
1469,2,3,396142
2000,1,3,323977
2054,5,2,390001
2073,1,3,344363
1492,2,3,175092
2158,1,2,107119
2113,4,2,420518
1688,5,1,424050
1983,5,3,101669
2104,5,2,271975
1549,1,1,114323
2080,4,2,431214
987,2,1,202808
608,2,3,443005
2084,1,2,164799
1399,2,3,496999
1318,1,1,241177
2096,2,3,442015
1694,2,1,456037
1217,3,2,254654
2212,1,1,176021
2498,1,3,397183
2311,2,2,295871
2433,1,2,465074
932,1,2,220306
1356,1,2,307724
1878,1,1,392871
2281,5,1,239404
1297,5,1,388338
1189,5,1,155681
1581,5,3,419752
1517,1,2,498358
1238,5,1,244776
878,4,2,392499
1276,4,2,239176
1122,2,1,213775
2311,1,1,147768
2191,2,1,428013
884,5,2,481127
1293,3,2,150284
2224,4,2,454447
1812,5,1,112489
2103,1,1,119386
776,4,2,424529
2340,4,3,343410
1530,2,2,273723
2490,3,3,198640
1801,2,2,369877
1861,1,1,185462
1519,5,3,373263
633,2,2,253642
1137,5,2,172422
586,5,2,125207
941,4,1,174867
1916,3,3,210013
1349,5,1,132732
1521,5,3,250108
1067,3,1,207412
879,5,1,230774
2004,5,3,328295
2035,4,1,137917
2189,1,1,282085
1734,5,3,413581
1821,2,1,385325
1505,2,2,140986
689,3,2,273666
994,3,2,300025
1965,5,2,127439
2340,4,3,256935
2246,4,3,286305
2146,1,3,124556
522,1,2,249975
539,5,2,486583
2465,5,3,341373
580,4,1,295564
1249,2,3,363299
1516,1,2,209157
1872,1,2,405360
1084,2,3,245755
2254,1,1,277501
952,4,3,414148
2491,3,2,145053
1464,1,3,360571
1425,3,2,212327
791,1,1,394804
1332,2,2,212065
935,5,1,424026
1641,1,2,473080
2377,3,3,391905
2297,2,2,264596
1766,1,1,111928
1625,1,2,428590
1491,4,3,119403
2496,3,1,489634
2263,5,1,279360
2276,1,3,357516
2368,2,1,294859
1602,1,3,308334
873,2,2,218749
1398,1,1,159505
1632,4,2,219451
1734,3,2,418188
1274,3,1,241017
619,3,2,447745
1865,3,1,183627
1122,4,1,146646
1030,4,2,197270
1800,3,1,473838
874,2,3,290553
1734,2,2,267878
663,1,2,305943
1650,5,3,203125
943,4,1,442398
1628,1,3,291357
1267,2,2,460194
2426,5,2,349405
1659,4,3,177843
932,5,2,181593
1576,2,1,312972
850,5,3,361110
1256,4,2,470889
1290,4,3,411078
1974,2,2,412083
929,5,1,381379
2349,5,1,424541
1276,1,1,276849
1112,1,3,124669
1227,3,3,421178
2118,1,1,448634
2234,5,3,236198
1480,4,2,130531
774,3,1,189639
1493,3,1,190651
1620,1,3,233536
1477,3,1,303307
2158,3,1,188622
2433,5,3,412559
2009,4,2,272335
1299,1,3,113367
2229,5,1,194392
1844,4,3,390069
815,4,1,397435
2257,1,1,128288
1367,1,2,303128
1716,2,2,264979
1694,2,2,344841
913,1,3,402986
886,3,1,354393
746,3,1,177295
601,1,1,373111
1408,4,2,445510
1191,4,3,351959
1984,1,2,208587
910,5,2,258251
2000,1,3,412519
584,1,1,364100
996,3,2,410132
2225,3,1,497812
729,3,1,488209
2036,1,3,340443
2430,5,3,402418
1704,4,3,495349
966,4,2,372733
1715,1,3,177018
1463,2,2,467130
2249,2,1,233984
2223,5,3,243237
1431,4,1,225292
1272,2,2,279069
1068,5,1,464846
1654,5,3,165034
542,5,3,455964
1760,5,2,190388
1019,1,2,378428
1479,4,3,260006
2275,5,3,120417
820,1,2,300935
2349,4,1,388905
860,3,2,321463
1910,4,3,444637
508,2,3,241559
1463,1,2,383704
2227,3,1,176517
2308,5,3,474260
1368,4,1,439184
813,3,1,152092
1822,1,3,312658
1264,5,2,154120
882,2,2,320397
2105,1,1,317783
1901,2,2,209620
1195,2,3,231592
2378,4,1,380152
2175,3,2,403004
2387,3,3,361511
2262,1,3,371843
2496,4,1,228333
1087,4,3,345677
1151,3,3,483092
2103,5,3,184204
1353,5,2,180648
1983,3,3,474928
1834,3,1,475852
1406,3,2,477575
1007,3,2,353678
1367,1,2,444590
714,1,1,311278
1932,5,2,347556
1127,3,1,228744
2016,1,1,449659
1298,3,1,405876
805,2,3,422316
1652,5,2,113421
2308,1,3,359845
661,5,3,489326
1422,4,1,231022
891,4,2,420242
1471,2,1,144514
1684,1,2,209750
717,2,3,105599
832,1,3,298011
816,3,3,314748
1780,5,3,238086
2304,3,3,252348
1417,5,2,201253
1058,1,1,191573
1053,3,1,294507
762,1,2,168091
1635,1,1,361735
847,4,1,187233
1267,4,2,277179
2442,5,1,317831
770,5,1,410278
1360,4,1,417679
1192,3,3,228792
1717,2,2,145003
558,3,1,246255
894,2,2,196143
563,1,3,265008
1041,3,3,392137
1260,3,3,441927
1274,3,3,188513
1239,1,1,350339
2031,5,3,152852
1386,2,2,353536
1671,2,2,210551
506,4,1,302406
1864,5,1,231255
624,4,1,159768
700,5,1,100857
1660,1,2,391315
962,3,1,420282
1895,5,1,375482
668,2,2,478304
1525,2,2,172990
2090,3,3,402564
1858,1,3,108359
1758,4,1,349236
2496,4,3,237666
522,1,1,176066
2004,4,2,393706
2087,1,3,293326
1680,2,1,239118
1089,5,2,418972
730,4,2,242025
527,1,3,311287
730,5,2,207736
641,4,3,221990
1883,2,1,413322
825,3,2,152450
709,5,2,155605
1973,1,2,174159
2004,4,1,147506
717,4,1,446795
580,4,1,283817
1592,3,3,171288
2275,3,1,319677
1836,3,2,380386
2279,4,2,264264
1525,2,3,122387
1794,1,3,355369
777,3,2,331544
696,5,2,458411
2380,3,1,457553
1591,4,2,214267
1717,5,1,300129
1746,2,2,290047
716,1,1,190470
1982,1,3,246152
1989,5,2,180193
921,5,2,232619
2377,2,3,336376
797,1,1,399623
1657,5,3,421305
2095,3,2,326676
997,1,2,102765
591,4,2,371754
526,3,1,367254
2131,4,3,319060
1012,2,2,156208
1588,2,3,478072
2208,2,1,106309
1468,1,2,346029
764,5,2,112129
1742,4,3,249883
600,1,1,270677
1831,4,2,275934
1067,2,3,496906
992,2,3,434468
666,5,3,256856
759,3,2,167799
1678,1,1,482353
1177,3,2,482937
603,4,1,360101
2178,5,3,178661
1358,3,3,140765
824,3,3,366828
646,3,3,397055
1270,4,3,457534
878,2,3,287808
663,3,1,257648
2218,2,3,314519
2213,4,2,426402
978,2,1,150072
1575,3,3,342552
1515,1,2,143977
1489,5,1,395185
1330,4,1,310180
2092,3,2,253382
1162,2,1,433778
1748,1,3,315937
2156,3,3,485555
2069,4,1,278286
1441,3,3,167189
1771,4,2,397490
970,3,2,306516
610,2,2,435438
2143,1,3,245475
837,3,2,295126
684,1,3,485578
1320,1,3,366391
1760,5,1,166701
2235,1,1,497587
1625,5,3,291257
1660,2,1,186344
2164,3,2,137916
506,1,1,375073
1844,2,2,241021
999,1,3,358266
1192,4,3,309280
755,4,2,408011
1362,5,2,394143
2389,2,3,342719
2295,4,1,241619
665,2,3,438151
547,4,2,196861
2066,2,3,418693
1288,3,2,438152
2472,1,1,167338
1188,2,1,139779
1170,1,2,197435
2030,5,3,399533
1706,1,3,429195
1861,2,1,119756
1866,5,3,190725
2167,5,2,400892
1555,1,3,403996
2365,3,1,235156
1884,1,1,170946
613,5,1,430346
2211,1,1,171915
1066,3,1,114322
2101,1,1,394880
1863,4,2,269539
1200,3,2,209280
2354,1,1,194294
2071,5,2,476023
1755,1,2,486771
1369,5,1,139871
736,4,3,220272
1541,3,2,143507
819,3,3,217813
624,5,2,458429
949,3,1,300701
2365,3,3,261561
812,1,1,178883
2055,2,3,362937
939,4,2,488212
1576,4,2,414612
2109,2,3,485525
1624,1,2,421273
1725,2,2,424337
2079,4,3,461588
2350,2,3,310592
1679,4,3,479384
2431,5,1,176315
809,1,3,468916
2445,2,2,303220
1821,5,2,482851
1865,5,1,329313
1621,4,3,398612
1805,1,3,185970
931,3,2,108153
1216,1,1,398106
1980,5,2,451977
755,1,3,263156
2352,2,1,428631
1759,5,3,357759
1892,4,2,365216
2390,3,2,348137
1786,4,3,356344
1466,4,2,490702
1483,5,1,305312
1604,5,1,223862
722,1,3,319680
537,4,3,224268
1450,2,2,209432
985,1,3,352073
2132,3,3,437008
1156,3,2,191675
2428,1,2,341442
1010,5,1,176052
1226,4,3,133206
682,4,2,114735
1571,4,1,393456
553,4,3,423982
764,1,3,458077
2100,5,2,109945
1764,5,1,496541
647,1,2,419206
1555,4,1,411623
1836,2,3,306819
1440,2,2,248720
2475,5,1,495806
816,2,2,257474
639,1,2,215757
2250,4,1,263445
1837,3,1,339690
1882,2,3,278776
1387,5,1,295045
2360,5,1,245376
2148,2,2,297991
1206,2,1,188764
545,4,3,228882
1843,4,3,349690
1765,5,1,157281
2384,2,3,195861
2411,4,2,349171
2429,1,2,240270
701,4,2,170966
583,1,1,480029
1210,5,2,412915
2253,2,2,226867
773,4,3,353027
1147,5,3,348447
2418,1,2,382923
1415,2,3,437627
1093,1,1,493628
2057,5,3,121778
578,4,1,258536
583,3,1,375519
1323,2,2,273325
743,4,1,454274
2099,1,3,283038
1579,1,1,378893
1289,1,1,170085
1537,2,3,415202
2448,3,2,217957
1569,4,3,326186
1105,3,1,452897
518,5,3,133608
573,4,3,327138
781,3,1,226584
1691,5,1,425331
2390,4,3,293654
1071,4,3,221905
1895,3,3,135024
2065,4,1,184592
1658,2,2,106859
1639,3,3,108297
1157,5,2,112656
1338,2,1,429922
1471,4,2,483747
1953,4,1,182556
1719,1,2,310528
2125,4,1,438876
2024,2,1,217420
1637,3,2,330355
2055,2,3,423542
1032,3,3,194695
1340,4,1,261873
1627,2,3,171042
1176,3,3,108346
1642,5,1,366989
839,5,1,107903
1956,3,3,279324
879,5,2,235176
1991,1,3,104591
1949,1,2,324413
846,1,2,430751
1756,1,1,455924
2050,5,1,143756
1211,5,2,136853
874,3,3,405904
2010,1,2,362177
1604,3,2,461789
1756,1,1,139156
1735,4,2,282063
1083,5,3,192279
872,3,2,163916
2097,5,2,330257
2393,3,2,401131
523,1,3,455917
1034,3,3,461948
1630,4,1,340978
1615,4,2,213233
1333,3,1,492954
